id,type,name,url,sameAs
person,Person,Várhelyi Csanád,https://www.varhelyicsanad.hu/#person,"https://www.varhelyicsanad.hu,https://www.linkedin.com/in/varhelyicsanad,https://github.com/varhelyicsanad,https://medium.com/@varhelyicsanad"
website,WebSite,varhelyicsanad.hu,https://www.varhelyicsanad.hu,"https://www.varhelyicsanad.hu"
service,Service,Weboldalkészítés és AI láthatóság,https://www.varhelyicsanad.hu,"SEO,GEO,AEO,AI visibility"
